,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem,added_util
409,MobileNetV3,ImageNet,1,32,0,1.151,PPO,LunarLander,1,32,0,1,16.386,1.386,4742,59.6255
988,EfficientNet,CIFAR-10,1,32,0,0.982,VGG,CIFAR-10,1,64,1,0.942,52.514,20.122,5918,59.627
1370,MobileNetV3,ImageNet,1,32,0,1.276,TD3,BipedalWalker,1,32,0,1,12.945,0,2059,59.6395
74,MobileNetV3,ImageNet,1,32,1,1.032,EfficientNet,CIFAR-10,1,32,0,0.949,30.438,4.644,4706,59.696
986,EfficientNet,CIFAR-10,1,32,1,0.984,VGG,CIFAR-10,1,32,1,0.827,43.373,14.653,4960,59.806
279,EfficientNet,CIFAR-10,1,64,1,0.902,DCGAN,LSUN,1,32,1,0.963,49.481,14.701,5044,59.873
479,EfficientNet,CIFAR-10,1,128,0,0.949,PPO,LunarLander,1,128,0,1,51.813,15.213,5454,60.0795
970,EfficientNet,CIFAR-10,1,32,0,0.997,EfficientNet,CIFAR-10,1,128,1,0.836,49.239,9.775,4688,60.106
974,EfficientNet,CIFAR-10,1,64,0,0.92,EfficientNet,CIFAR-10,1,64,1,0.885,48.781,10.233,5078,60.1325
489,VGG,CIFAR-10,1,64,0,0.88,PPO,LunarLander,1,64,0,1,48.987,25.519,5632,60.3895
710,VGG,CIFAR-10,1,128,0,1.054,PointNet,ShapeNet,1,32,0,0.949,66.427,40.347,8374,60.5965
1186,MobileNetV3,ImageNet,1,64,1,1.011,PointNet,ShapeNet,1,32,0,1.029,18.221,10.441,6666,60.5995
510,DCGAN,LSUN,1,64,1,1.079,TD3,BipedalWalker,1,128,0,1,40.219,12.312,4386,60.6095
587,ResNet18,CIFAR-10,1,32,0,1.298,PointNet,ShapeNet,1,128,1,0.819,67.6,34.691,9364,60.613
1002,EfficientNet,CIFAR-10,1,64,1,0.935,VGG,CIFAR-10,1,64,1,0.936,51.907,19.587,5900,60.696
579,ResNet18,CIFAR-10,1,32,0,1.288,PointNet,ShapeNet,1,32,1,0.984,89.147,33.32,5536,60.754
79,MobileNetV3,ImageNet,1,32,1,1.017,EfficientNet,CIFAR-10,1,64,1,0.907,30.681,4.833,4694,60.765
1374,MobileNetV3,ImageNet,1,32,0,1.278,TD3,BipedalWalker,1,128,0,1,13.95,0,2059,60.8015
487,VGG,CIFAR-10,1,64,0,0.958,PPO,LunarLander,1,32,0,1,48.571,24.909,5632,60.961
1358,VGG,CIFAR-10,1,64,0,0.93,TD3,BipedalWalker,1,32,0,1,37.084,17.398,4398,60.975
508,DCGAN,LSUN,1,64,1,1.056,TD3,BipedalWalker,1,64,0,1,37.208,10.74,4386,61.0105
979,EfficientNet,CIFAR-10,1,64,1,0.955,EfficientNet,CIFAR-10,1,128,1,0.902,50.333,10.4,4670,61.175
601,ResNet18,CIFAR-10,1,64,1,1.049,PointNet,ShapeNet,1,128,1,0.951,61.456,34.175,10642,61.1815
1372,MobileNetV3,ImageNet,1,32,0,1.23,TD3,BipedalWalker,1,64,0,1,12.588,0,2059,61.2025
799,ResNet18,CIFAR-10,1,32,1,0.896,EfficientNet,CIFAR-10,1,32,0,0.961,49.32,19.067,4660,61.2105
583,ResNet18,CIFAR-10,1,32,0,1.261,PointNet,ShapeNet,1,64,1,0.92,69.403,37,6914,61.287
593,ResNet18,CIFAR-10,1,64,1,0.965,PointNet,ShapeNet,1,32,1,0.982,62.72,33.6,7000,61.3225
170,PointNet,ShapeNet,1,128,1,0.946,DCGAN,LSUN,1,32,0,1.127,60.136,26.525,9456,61.3715
146,PointNet,ShapeNet,1,32,1,0.932,DCGAN,LSUN,1,32,0,1.222,73.013,30.763,5814,61.5125
891,MobileNetV2,CIFAR-10,1,32,0,0.955,EfficientNet,CIFAR-10,1,32,1,0.946,52.973,17.216,4706,61.5685
733,DCGAN,LSUN,1,64,1,0.995,PPO,LunarLander,1,128,0,1,46.784,15.041,4378,61.7555
597,ResNet18,CIFAR-10,1,64,1,1.039,PointNet,ShapeNet,1,64,1,0.907,64.333,35.903,8196,61.8555
985,EfficientNet,CIFAR-10,1,32,1,0.929,VGG,CIFAR-10,1,32,0,0.934,51.351,19.838,5624,61.928
413,MobileNetV3,ImageNet,1,32,0,1.101,PPO,LunarLander,1,128,0,1,17.603,2.89,4742,61.9475
714,VGG,CIFAR-10,1,128,0,1.014,PointNet,ShapeNet,1,64,0,0.955,59.522,39.913,10358,62.006
1190,MobileNetV3,ImageNet,1,64,1,0.969,PointNet,ShapeNet,1,64,0,0.992,11.29,7.677,9074,62.009
158,PointNet,ShapeNet,1,64,1,0.982,DCGAN,LSUN,1,32,0,1.1,65.186,28.114,7012,62.0455
1362,VGG,CIFAR-10,1,64,0,0.959,TD3,BipedalWalker,1,128,0,1,45.443,23.115,4398,62.137
804,ResNet18,CIFAR-10,1,32,1,1.043,EfficientNet,CIFAR-10,1,64,1,1.011,56.338,22.286,4642,62.2795
1360,VGG,CIFAR-10,1,64,0,0.918,TD3,BipedalWalker,1,64,0,1,48.764,25.164,4398,62.538
718,VGG,CIFAR-10,1,128,0,1.035,PointNet,ShapeNet,1,128,0,0.953,55.742,37.435,13048,62.679
1194,MobileNetV3,ImageNet,1,64,1,0.966,PointNet,ShapeNet,1,128,0,0.969,8.127,6.782,10499,62.682
905,MobileNetV2,CIFAR-10,1,64,1,0.927,EfficientNet,CIFAR-10,1,32,1,0.996,54.72,16.973,4760,62.9515
231,MobileNetV2,CIFAR-10,1,32,1,0.898,DCGAN,LSUN,1,32,1,0.994,53.408,19.145,5072,63.039
491,VGG,CIFAR-10,1,64,0,0.952,PPO,LunarLander,1,128,0,1,55.986,30.889,5632,63.283
896,MobileNetV2,CIFAR-10,1,32,1,0.902,EfficientNet,CIFAR-10,1,64,0,0.894,50.527,13.919,5108,63.2985
994,EfficientNet,CIFAR-10,1,32,1,1.075,VGG,CIFAR-10,1,128,1,1.104,58.795,24.487,5980,63.304
578,ResNet18,CIFAR-10,1,32,0,1.202,PointNet,ShapeNet,1,32,0,1.02,70.405,41.338,6350,63.4315
495,VGG,CIFAR-10,1,128,0,1.053,PPO,LunarLander,1,64,0,1,53.224,28.974,6038,63.6315
418,MobileNetV3,ImageNet,1,64,1,1.02,PPO,LunarLander,1,64,0,1,16.478,2.043,4754,63.6345
984,EfficientNet,CIFAR-10,1,32,0,0.924,VGG,CIFAR-10,1,32,1,0.809,48.533,18.387,5092,63.8185
933,MobileNetV2,CIFAR-10,1,32,1,0.865,VGG,CIFAR-10,1,64,1,0.939,55.324,25.243,5930,63.862
39,MobileNetV3,ImageNet,1,32,1,0.96,MobileNetV2,CIFAR-10,1,32,1,0.926,34.507,8.411,4752,63.931
592,ResNet18,CIFAR-10,1,64,1,0.939,PointNet,ShapeNet,1,32,0,1.01,69.636,37.208,7632,64
144,PointNet,ShapeNet,1,32,0,0.989,DCGAN,LSUN,1,32,0,1.11,75.26,33.026,6448,64.19
493,VGG,CIFAR-10,1,128,0,1.028,PPO,LunarLander,1,32,0,1,51.729,29.371,6038,64.203
416,MobileNetV3,ImageNet,1,64,1,1.082,PPO,LunarLander,1,32,0,1,17.072,1.42,4754,64.206
1364,VGG,CIFAR-10,1,128,0,1.04,TD3,BipedalWalker,1,32,0,1,57.675,33.182,6636,64.217
1377,MobileNetV3,ImageNet,1,64,1,1.073,TD3,BipedalWalker,1,32,0,1,22.969,3.402,4762,64.22
901,MobileNetV2,CIFAR-10,1,32,1,0.992,EfficientNet,CIFAR-10,1,128,1,0.945,56.507,14.987,5606,64.341
582,ResNet18,CIFAR-10,1,32,0,1.218,PointNet,ShapeNet,1,64,0,0.975,72.986,41.101,9852,64.841
998,EfficientNet,CIFAR-10,1,64,1,0.867,VGG,CIFAR-10,1,32,1,0.846,45.055,16.466,5074,64.8875
649,MobileNetV2,CIFAR-10,1,128,1,1.035,PointNet,ShapeNet,1,128,1,0.866,66.915,33.746,9994,65.2235
641,MobileNetV2,CIFAR-10,1,128,1,0.987,PointNet,ShapeNet,1,32,1,1.004,69.373,36.573,6350,65.3645
1368,VGG,CIFAR-10,1,128,0,1.137,TD3,BipedalWalker,1,128,0,1,60.818,34.909,6046,65.379
1381,MobileNetV3,ImageNet,1,64,1,1.058,TD3,BipedalWalker,1,128,0,1,13.409,0,2059,65.382
596,ResNet18,CIFAR-10,1,64,1,1.034,PointNet,ShapeNet,1,64,0,0.959,64.208,36.653,10010,65.4095
764,ResNet18,CIFAR-10,1,32,1,0.937,MobileNetV2,CIFAR-10,1,32,1,0.902,56.737,25.263,4672,65.4455
586,ResNet18,CIFAR-10,1,32,0,1.138,PointNet,ShapeNet,1,128,0,0.969,63.877,35.965,12856,65.514
890,MobileNetV2,CIFAR-10,1,32,0,0.922,EfficientNet,CIFAR-10,1,32,0,0.958,54.73,18.338,4838,65.581
156,PointNet,ShapeNet,1,64,0,0.989,DCGAN,LSUN,1,32,0,1.042,67.873,29.873,8826,65.5995
179,PointNet,ShapeNet,1,128,1,0.871,DCGAN,LSUN,1,128,1,1.049,62.194,31.097,9688,65.6925
1366,VGG,CIFAR-10,1,128,0,0.998,TD3,BipedalWalker,1,64,0,1,49.552,26.885,6046,65.78
1379,MobileNetV3,ImageNet,1,64,1,0.97,TD3,BipedalWalker,1,64,0,1,23.151,3.836,4762,65.783
155,PointNet,ShapeNet,1,32,1,0.971,DCGAN,LSUN,1,128,1,0.996,66.147,33.2,6046,65.8335
645,MobileNetV2,CIFAR-10,1,128,1,1.051,PointNet,ShapeNet,1,64,1,0.961,70.522,37.232,7550,65.8975
983,EfficientNet,CIFAR-10,1,32,0,0.889,VGG,CIFAR-10,1,32,0,1.014,54.566,22.461,5716,65.9405
600,ResNet18,CIFAR-10,1,64,1,0.956,PointNet,ShapeNet,1,128,0,0.889,56.746,33.576,14138,66.0825
168,PointNet,ShapeNet,1,128,0,0.947,DCGAN,LSUN,1,32,0,1.057,62.016,27.18,12954,66.2725
971,EfficientNet,CIFAR-10,1,32,1,1.013,EfficientNet,CIFAR-10,1,128,0,0.899,57.041,16.973,5606,66.3115
167,PointNet,ShapeNet,1,64,1,0.956,DCGAN,LSUN,1,128,1,0.968,62.543,31.886,7244,66.3665
429,ResNet18,CIFAR-10,1,32,0,1.039,PPO,LunarLander,1,64,0,1,48.718,22.526,4408,66.4665
497,VGG,CIFAR-10,1,128,0,1.102,PPO,LunarLander,1,128,0,1,56.897,32.987,6038,66.525
420,MobileNetV3,ImageNet,1,64,1,1.072,PPO,LunarLander,1,128,0,1,21.457,3.1,4754,66.528
895,MobileNetV2,CIFAR-10,1,32,0,0.978,EfficientNet,CIFAR-10,1,64,1,0.844,55.247,18.961,4820,66.65
904,MobileNetV2,CIFAR-10,1,64,1,0.914,EfficientNet,CIFAR-10,1,32,0,1.011,57.919,18.608,4892,66.964
997,EfficientNet,CIFAR-10,1,64,1,0.938,VGG,CIFAR-10,1,32,0,0.942,53.77,22.851,5700,67.0095
436,ResNet18,CIFAR-10,1,64,1,0.815,PPO,LunarLander,1,64,0,1,46.671,20.519,5690,67.035
427,ResNet18,CIFAR-10,1,32,0,1.008,PPO,LunarLander,1,32,0,1,51.653,23.639,4408,67.038
1298,ResNet18,CIFAR-10,1,32,0,0.957,TD3,BipedalWalker,1,32,0,1,43.243,19.282,4416,67.052
724,DCGAN,LSUN,1,32,0,0.921,PPO,LunarLander,1,64,0,1,54.014,18.609,4506,67.225
1279,DCGAN,LSUN,1,32,1,0.944,DCGAN,LSUN,1,32,1,0.929,55.868,23.079,5482,67.3
992,EfficientNet,CIFAR-10,1,32,0,0.946,VGG,CIFAR-10,1,128,1,1.029,57.227,24.6,6114,67.3165
277,EfficientNet,CIFAR-10,1,64,0,0.829,DCGAN,LSUN,1,32,1,0.956,54.066,18.539,6110,67.5595
434,ResNet18,CIFAR-10,1,64,1,0.804,PPO,LunarLander,1,32,0,1,45.833,20.278,5690,67.6065
1305,ResNet18,CIFAR-10,1,64,1,0.877,TD3,BipedalWalker,1,32,0,1,50.788,22.673,5698,67.6205
722,DCGAN,LSUN,1,32,0,1.012,PPO,LunarLander,1,32,0,1,49.312,14.9,4506,67.7965
499,DCGAN,LSUN,1,32,0,1.074,TD3,BipedalWalker,1,32,0,1,48.137,12.274,4514,67.8105
973,EfficientNet,CIFAR-10,1,64,0,0.874,EfficientNet,CIFAR-10,1,64,0,0.827,51.625,13.083,5554,67.819
271,EfficientNet,CIFAR-10,1,32,1,0.962,DCGAN,LSUN,1,64,1,0.948,57.68,18.373,4528,67.9875
909,MobileNetV2,CIFAR-10,1,64,1,0.937,EfficientNet,CIFAR-10,1,64,1,0.993,60.818,19.545,4874,68.033
640,MobileNetV2,CIFAR-10,1,128,1,0.998,PointNet,ShapeNet,1,32,0,0.967,70.539,37.75,7508,68.042
929,MobileNetV2,CIFAR-10,1,32,1,0.896,VGG,CIFAR-10,1,32,1,0.869,54.893,22.933,5104,68.0535
315,VGG,CIFAR-10,1,64,1,1.043,DCGAN,LSUN,1,32,1,0.96,63.237,32,6340,68.123
73,MobileNetV3,ImageNet,1,32,0,1.049,EfficientNet,CIFAR-10,1,32,1,0.949,30.315,6.123,4892,68.1795
520,MobileNetV3,ImageNet,1,32,1,0.993,DCGAN,LSUN,1,32,1,1.018,41.067,13.773,5134,68.192
1302,ResNet18,CIFAR-10,1,32,0,0.958,TD3,BipedalWalker,1,128,0,1,50.627,23.904,4416,68.214
1000,EfficientNet,CIFAR-10,1,64,0,0.827,VGG,CIFAR-10,1,64,1,0.966,60.986,27.054,6766,68.3825
1006,EfficientNet,CIFAR-10,1,64,1,0.982,VGG,CIFAR-10,1,128,1,1.086,63.618,28.342,6094,68.3855
78,MobileNetV3,ImageNet,1,32,1,1.002,EfficientNet,CIFAR-10,1,64,0,0.871,37.123,7.849,5144,68.4515
153,PointNet,ShapeNet,1,32,0,0.929,DCGAN,LSUN,1,128,1,0.977,68.878,34.257,6680,68.511
291,EfficientNet,CIFAR-10,1,128,1,0.855,DCGAN,LSUN,1,32,1,0.97,56.365,18.459,5110,68.602
1300,ResNet18,CIFAR-10,1,32,0,1.096,TD3,BipedalWalker,1,64,0,1,55.654,27.019,4416,68.615
1309,ResNet18,CIFAR-10,1,64,1,0.832,TD3,BipedalWalker,1,128,0,1,46.369,21.621,5698,68.7825
977,EfficientNet,CIFAR-10,1,64,0,0.909,EfficientNet,CIFAR-10,1,128,1,0.89,57,14.2,6052,68.8615
1032,VGG,CIFAR-10,1,64,1,1.032,VGG,CIFAR-10,1,64,1,1.019,66.067,38.333,7198,68.946
503,DCGAN,LSUN,1,32,0,0.894,TD3,BipedalWalker,1,128,0,1,45.54,14.76,4514,68.9725
115,MobileNetV3,ImageNet,1,32,1,1,VGG,CIFAR-10,1,64,1,0.971,42.493,19.685,5992,69.015
1234,MobileNetV3,ImageNet,1,32,1,0.996,MobileNetV3,ImageNet,1,32,1,0.962,57,17.529,4810,69.084
1307,ResNet18,CIFAR-10,1,64,1,0.805,TD3,BipedalWalker,1,64,0,1,43.775,19.559,5698,69.1835
431,ResNet18,CIFAR-10,1,32,0,1.163,PPO,LunarLander,1,128,0,1,62.703,30.23,4968,69.36
501,DCGAN,LSUN,1,32,0,0.883,TD3,BipedalWalker,1,64,0,1,45.423,13.837,4514,69.3735
1014,EfficientNet,CIFAR-10,1,128,1,0.806,VGG,CIFAR-10,1,64,1,0.985,59.384,23.932,5968,69.425
644,MobileNetV2,CIFAR-10,1,128,1,0.97,PointNet,ShapeNet,1,64,0,0.954,66.743,36.314,9472,69.4515
83,MobileNetV3,ImageNet,1,32,1,1.005,EfficientNet,CIFAR-10,1,128,1,0.885,38.333,8.611,4786,69.494
989,EfficientNet,CIFAR-10,1,32,1,0.887,VGG,CIFAR-10,1,64,0,0.873,59.547,28.613,5780,69.515
195,ResNet18,CIFAR-10,1,32,1,0.885,DCGAN,LSUN,1,32,1,0.963,57.547,28.28,5674,69.7065
870,MobileNetV2,CIFAR-10,1,32,0,0.933,MobileNetV2,CIFAR-10,1,32,1,0.947,59.8,23.147,4850,69.816
982,EfficientNet,CIFAR-10,1,128,1,0.829,EfficientNet,CIFAR-10,1,128,1,0.848,56.173,13.52,5630,69.904
1231,PointNet,ShapeNet,1,128,1,0.917,LSTM,Wikitext2,1,128,1,0.963,60.484,52,12318,69.9135
165,PointNet,ShapeNet,1,64,0,0.984,DCGAN,LSUN,1,128,1,0.929,66.536,33.623,9058,69.9205
438,ResNet18,CIFAR-10,1,64,1,0.788,PPO,LunarLander,1,128,0,1,49.329,22.685,5690,69.9285
803,ResNet18,CIFAR-10,1,32,1,0.979,EfficientNet,CIFAR-10,1,64,0,0.88,59.253,24.173,5118,69.966
1215,PointNet,ShapeNet,1,32,1,0.997,LSTM,Wikitext2,1,128,1,0.993,68.536,60.161,8676,70.0545
726,DCGAN,LSUN,1,32,0,0.911,PPO,LunarLander,1,128,0,1,50.87,17.286,4506,70.1185
648,MobileNetV2,CIFAR-10,1,128,1,0.986,PointNet,ShapeNet,1,128,0,0.912,66.017,34.776,13492,70.1245
928,MobileNetV2,CIFAR-10,1,32,1,0.886,VGG,CIFAR-10,1,32,0,0.958,55.649,25.838,5728,70.1755
969,EfficientNet,CIFAR-10,1,32,0,0.971,EfficientNet,CIFAR-10,1,128,0,0.863,58.405,17.581,4922,70.324
840,ResNet18,CIFAR-10,1,32,1,0.912,VGG,CIFAR-10,1,64,1,0.94,59.716,32.946,5940,70.5295
1223,PointNet,ShapeNet,1,64,1,0.938,LSTM,Wikitext2,1,128,1,0.98,66.61,58.051,9874,70.5875
177,PointNet,ShapeNet,1,128,0,0.883,DCGAN,LSUN,1,128,1,0.994,64.966,32.069,13186,70.5935
3,MobileNetV3,ImageNet,1,32,1,0.997,ResNet18,CIFAR-10,1,32,1,0.919,39.123,18.918,4786,70.5985
808,ResNet18,CIFAR-10,1,32,1,1.023,EfficientNet,CIFAR-10,1,128,1,0.885,68.203,27.216,4788,71.0085
460,MobileNetV2,CIFAR-10,1,128,1,0.934,PPO,LunarLander,1,64,0,1,58.053,24.961,5962,71.077
875,MobileNetV2,CIFAR-10,1,32,1,0.927,MobileNetV2,CIFAR-10,1,64,1,0.966,62.267,23.08,4904,71.199
978,EfficientNet,CIFAR-10,1,64,1,1.01,EfficientNet,CIFAR-10,1,128,0,0.927,63.303,19.632,4906,71.393
737,DCGAN,LSUN,1,128,1,0.913,PPO,LunarLander,1,64,0,1,55.611,21.931,5430,71.546
937,MobileNetV2,CIFAR-10,1,32,1,0.888,VGG,CIFAR-10,1,128,1,0.981,59.811,28.054,6924,71.5515
458,MobileNetV2,CIFAR-10,1,128,1,0.943,PPO,LunarLander,1,32,0,1,56.233,24.658,5044,71.6485
1329,MobileNetV2,CIFAR-10,1,128,1,1.063,TD3,BipedalWalker,1,32,0,1,67.774,30.528,5052,71.6625
269,EfficientNet,CIFAR-10,1,32,0,0.885,DCGAN,LSUN,1,64,1,0.914,56.176,17.635,4660,72
635,MobileNetV2,CIFAR-10,1,64,0,0.964,PointNet,ShapeNet,1,128,1,0.946,67.517,37.897,10016,72.026
742,ResNet18,CIFAR-10,1,32,1,0.883,ResNet18,CIFAR-10,1,32,1,0.889,63.618,33.25,4682,72.113
735,DCGAN,LSUN,1,128,1,0.889,PPO,LunarLander,1,32,0,1,52.8,21.24,4738,72.1175
512,DCGAN,LSUN,1,128,1,0.927,TD3,BipedalWalker,1,32,0,1,52.606,20.351,4746,72.1315
627,MobileNetV2,CIFAR-10,1,64,0,0.99,PointNet,ShapeNet,1,32,1,0.999,73.853,42.08,6366,72.167
72,MobileNetV3,ImageNet,1,32,0,0.915,EfficientNet,CIFAR-10,1,32,0,1.035,35.027,6.986,5024,72.192
303,VGG,CIFAR-10,1,32,1,0.832,DCGAN,LSUN,1,32,1,0.908,52.32,24.267,5514,72.3145
996,EfficientNet,CIFAR-10,1,64,0,0.836,VGG,CIFAR-10,1,32,1,0.815,53.568,22.027,5550,72.574
631,MobileNetV2,CIFAR-10,1,64,0,0.953,PointNet,ShapeNet,1,64,1,0.951,69.671,38.8,7572,72.7
1213,PointNet,ShapeNet,1,32,0,1.021,LSTM,Wikitext2,1,128,1,0.955,70.456,61.421,9310,72.732
993,EfficientNet,CIFAR-10,1,32,1,1.105,VGG,CIFAR-10,1,128,0,1.094,71.026,34.829,6242,72.757
87,MobileNetV3,ImageNet,1,64,1,1.024,EfficientNet,CIFAR-10,1,32,1,1.003,32.068,5.945,4904,72.76
1333,MobileNetV2,CIFAR-10,1,128,1,1.017,TD3,BipedalWalker,1,128,0,1,50.639,21.444,6190,72.8245
283,EfficientNet,CIFAR-10,1,64,1,0.978,DCGAN,LSUN,1,64,1,1.075,66.368,22.526,4644,73.069
1025,VGG,CIFAR-10,1,32,1,0.864,VGG,CIFAR-10,1,64,1,1.021,60.276,32.434,6372,73.1375
111,MobileNetV3,ImageNet,1,32,1,0.99,VGG,CIFAR-10,1,32,1,0.844,37.757,16.446,5194,73.2065
1331,MobileNetV2,CIFAR-10,1,128,1,1.041,TD3,BipedalWalker,1,64,0,1,68.4,31.38,5684,73.2255
77,MobileNetV3,ImageNet,1,32,0,0.993,EfficientNet,CIFAR-10,1,64,1,0.918,33.795,7.397,5006,73.261
516,DCGAN,LSUN,1,128,1,0.949,TD3,BipedalWalker,1,128,0,1,56.843,23.294,4746,73.2935
987,EfficientNet,CIFAR-10,1,32,0,0.924,VGG,CIFAR-10,1,64,0,0.858,62.689,31.365,5914,73.5275
1010,EfficientNet,CIFAR-10,1,128,1,0.843,VGG,CIFAR-10,1,32,1,0.783,51.222,19.389,5142,73.6165
514,DCGAN,LSUN,1,128,1,0.876,TD3,BipedalWalker,1,64,0,1,48.385,19.646,4746,73.6945
462,MobileNetV2,CIFAR-10,1,128,1,0.99,PPO,LunarLander,1,128,0,1,60.833,27.064,5052,73.9705
229,MobileNetV2,CIFAR-10,1,32,0,0.888,DCGAN,LSUN,1,32,1,0.96,59.77,26.973,5260,74.077
1221,PointNet,ShapeNet,1,64,0,0.969,LSTM,Wikitext2,1,128,1,0.921,66.263,57.491,11688,74.1415
894,MobileNetV2,CIFAR-10,1,32,0,1.011,EfficientNet,CIFAR-10,1,64,0,0.846,61.711,23.855,5296,74.3365
301,VGG,CIFAR-10,1,32,0,0.926,DCGAN,LSUN,1,32,1,0.92,60.378,30.257,6138,74.4365
739,DCGAN,LSUN,1,128,1,1.032,PPO,LunarLander,1,128,0,1,65.329,25.908,4738,74.4395
900,MobileNetV2,CIFAR-10,1,32,1,0.983,EfficientNet,CIFAR-10,1,128,0,0.907,65.408,23.395,4936,74.559
1001,EfficientNet,CIFAR-10,1,64,1,0.868,VGG,CIFAR-10,1,64,0,0.838,62.892,31.743,6292,74.5965
995,EfficientNet,CIFAR-10,1,64,0,0.877,VGG,CIFAR-10,1,32,0,1.036,62.079,27.5,6174,74.696
836,ResNet18,CIFAR-10,1,32,1,0.917,VGG,CIFAR-10,1,32,1,0.819,57.947,32.307,5114,74.721
1229,PointNet,ShapeNet,1,128,0,0.956,LSTM,Wikitext2,1,128,1,0.9,63.115,53.885,15816,74.8145
626,MobileNetV2,CIFAR-10,1,64,0,0.954,PointNet,ShapeNet,1,32,0,1.011,74.2,44.053,7008,74.8445
931,MobileNetV2,CIFAR-10,1,32,0,0.941,VGG,CIFAR-10,1,64,1,0.918,67.432,34.284,6188,74.9
38,MobileNetV3,ImageNet,1,32,1,0.957,MobileNetV2,CIFAR-10,1,32,0,0.891,42.257,16.243,4964,74.969
1023,VGG,CIFAR-10,1,32,0,0.998,VGG,CIFAR-10,1,64,1,0.964,68.267,39.853,6996,75.2595
110,MobileNetV3,ImageNet,1,32,1,1.003,VGG,CIFAR-10,1,32,0,0.944,41.178,20.219,5790,75.3285
899,MobileNetV2,CIFAR-10,1,32,0,0.967,EfficientNet,CIFAR-10,1,128,1,0.933,65.6,23.827,4888,75.379
243,MobileNetV2,CIFAR-10,1,64,1,0.913,DCGAN,LSUN,1,32,1,0.977,62.892,27.554,5314,75.46
798,ResNet18,CIFAR-10,1,32,0,1.07,EfficientNet,CIFAR-10,1,32,1,0.952,66.558,31.091,4558,75.592
908,MobileNetV2,CIFAR-10,1,64,1,0.974,EfficientNet,CIFAR-10,1,64,0,0.823,63.054,22.635,5350,75.7195
1009,EfficientNet,CIFAR-10,1,128,1,0.823,VGG,CIFAR-10,1,32,0,1.037,61.726,27.726,5766,75.7385
187,PPO,LunarLander,1,64,0,1,LSTM,Wikitext2,1,128,1,0.952,65.255,51.491,7368,75.767
327,VGG,CIFAR-10,1,128,1,1.033,DCGAN,LSUN,1,32,1,0.958,67.649,36.743,5810,75.8125
1004,EfficientNet,CIFAR-10,1,64,0,1.006,VGG,CIFAR-10,1,128,1,1.12,70.342,30.408,6572,76.072
812,ResNet18,CIFAR-10,1,64,1,0.866,EfficientNet,CIFAR-10,1,32,1,0.922,62.842,30.487,4784,76.1605
235,MobileNetV2,CIFAR-10,1,32,1,0.875,DCGAN,LSUN,1,64,1,0.923,62.587,23.4,4766,76.235
630,MobileNetV2,CIFAR-10,1,64,0,0.923,PointNet,ShapeNet,1,64,0,0.972,72.058,41.551,9378,76.254
945,MobileNetV2,CIFAR-10,1,64,1,0.902,VGG,CIFAR-10,1,64,1,0.996,66.438,33.397,6138,76.283
183,PPO,LunarLander,1,32,0,1,LSTM,Wikitext2,1,128,1,1.002,67.836,54.818,7368,76.3385
266,EfficientNet,CIFAR-10,1,32,1,0.963,DCGAN,LSUN,1,32,0,0.955,70.4,21.84,4696,76.3505
43,MobileNetV3,ImageNet,1,32,1,1.061,MobileNetV2,CIFAR-10,1,64,1,1.019,48.36,17.427,4950,76.352
1061,TD3,BipedalWalker,1,32,0,1,LSTM,Wikitext2,1,128,1,0.961,51.194,38.075,7376,76.3525
37,MobileNetV3,ImageNet,1,32,0,1.009,MobileNetV2,CIFAR-10,1,32,1,0.882,36.534,10.342,5036,76.427
763,ResNet18,CIFAR-10,1,32,1,0.903,MobileNetV2,CIFAR-10,1,32,0,0.944,64.52,32.627,4860,76.4835
1036,VGG,CIFAR-10,1,64,1,0.91,VGG,CIFAR-10,1,128,1,1.053,74.932,43.568,6550,76.6355
119,MobileNetV3,ImageNet,1,32,1,1.03,VGG,CIFAR-10,1,128,1,1.015,45.324,23.486,5070,76.7045
913,MobileNetV2,CIFAR-10,1,64,1,0.945,EfficientNet,CIFAR-10,1,128,1,0.862,65.453,21.96,5188,76.762
991,EfficientNet,CIFAR-10,1,32,0,1.04,VGG,CIFAR-10,1,128,0,1.043,68.711,34.658,6910,76.7695
86,MobileNetV3,ImageNet,1,64,1,0.99,EfficientNet,CIFAR-10,1,32,0,1.011,35.301,6.959,5036,76.7725
835,ResNet18,CIFAR-10,1,32,1,0.971,VGG,CIFAR-10,1,32,0,0.929,65.88,38.867,5738,76.843
634,MobileNetV2,CIFAR-10,1,64,0,0.961,PointNet,ShapeNet,1,128,0,0.919,73.965,42.667,13514,76.927
1018,EfficientNet,CIFAR-10,1,128,1,0.829,VGG,CIFAR-10,1,128,1,1.023,69.041,30.919,5438,77.1145
1021,VGG,CIFAR-10,1,32,1,0.814,VGG,CIFAR-10,1,32,1,0.811,51.23,27.595,5546,77.329
1069,TD3,BipedalWalker,1,128,0,1,LSTM,Wikitext2,1,128,1,0.951,55.219,40.906,7376,77.5145
932,MobileNetV2,CIFAR-10,1,32,1,0.935,VGG,CIFAR-10,1,64,0,0.869,69.107,34.853,5926,77.7625
1005,EfficientNet,CIFAR-10,1,64,1,0.878,VGG,CIFAR-10,1,128,0,0.965,64.645,34.434,6302,77.8385
