,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem,added_util
1078,ResNet18,CIFAR-10,1,64,0,0.589,LSTM,Wikitext2,1,64,0,0.786,100,82.276,6566,179.437
34,MobileNetV3,ImageNet,1,128,1,0.563,ResNet18,CIFAR-10,1,128,0,0.881,94.547,54.04,6310,180.011
781,ResNet18,CIFAR-10,1,64,0,0.545,MobileNetV2,CIFAR-10,1,128,0,0.59,99.75,67.724,6810,180.878
1271,MobileNetV3,ImageNet,1,128,1,1.093,LSTM,Wikitext2,1,64,0,1.015,100,73.947,3909,181.871
28,MobileNetV3,ImageNet,1,128,0,0.648,ResNet18,CIFAR-10,1,64,0,0.793,90.693,47.96,7110,182.814
70,MobileNetV3,ImageNet,1,128,1,0.671,MobileNetV2,CIFAR-10,1,128,0,0.913,96.267,61.32,7298,183.312
1251,MobileNetV3,ImageNet,1,128,0,0.665,MobileNetV3,ImageNet,1,128,1,0.599,100,61.667,7784,185.248
1295,DCGAN,LSUN,1,128,0,0.525,DCGAN,LSUN,1,128,0,0.487,99.882,38.171,6214,185.766
224,ResNet18,CIFAR-10,1,128,0,0.507,DCGAN,LSUN,1,128,0,0.554,99.919,47.135,6190,187.646
391,DCGAN,LSUN,1,128,0,0.651,LSTM,Wikitext2,1,64,0,0.661,100,70.036,7002,189.506
758,ResNet18,CIFAR-10,1,128,0,0.558,ResNet18,CIFAR-10,1,128,0,0.559,99.533,64.96,7716,189.526
260,MobileNetV2,CIFAR-10,1,128,0,0.459,DCGAN,LSUN,1,128,0,0.683,99.987,55.947,7118,190.947
1086,ResNet18,CIFAR-10,1,128,0,0.592,LSTM,Wikitext2,1,64,0,0.703,100,82.625,8288,191.386
793,ResNet18,CIFAR-10,1,128,0,0.609,MobileNetV2,CIFAR-10,1,128,0,0.538,99.987,73.579,8454,192.827
549,MobileNetV3,ImageNet,1,128,0,0.566,DCGAN,LSUN,1,128,0,0.864,92.093,40.507,7546,192.883
399,LSTM,Wikitext2,1,64,0,0.563,LSTM,Wikitext2,1,64,0,0.563,100,84.286,7790,193.246
1110,MobileNetV2,CIFAR-10,1,128,0,0.548,LSTM,Wikitext2,1,64,0,0.734,100,81.768,8052,194.687
32,MobileNetV3,ImageNet,1,128,0,0.573,ResNet18,CIFAR-10,1,128,0,0.857,97.182,58.013,7522,194.763
887,MobileNetV2,CIFAR-10,1,128,0,0.582,MobileNetV2,CIFAR-10,1,128,0,0.582,100,74.813,8144,196.128
1269,MobileNetV3,ImageNet,1,128,0,1.003,LSTM,Wikitext2,1,64,0,1.012,100,73.836,3909,196.623
68,MobileNetV3,ImageNet,1,128,0,0.612,MobileNetV2,CIFAR-10,1,128,0,0.833,96.699,61.315,8436,198.064
1250,MobileNetV3,ImageNet,1,128,0,0.564,MobileNetV3,ImageNet,1,128,0,0.564,100,70.235,8854,200
