ali_share_x,ali_share_y,ali_gpumem_x,ali_gpumem_y,ali_gpuutil_x,ali_gpuutil_y,msft_8gpu_x,msft_8gpu_y,msft_16gpu_x,msft_16gpu_y
,,68.8378,92.1664,,,,,,
,,69.4764,92.1653,,,,,,
,,70.4981,92.1636,,,,,,
,,71.3921,92.3299,,,,,,
,,72.0307,92.161,,,,,,
,,72.9246,92.1595,,,,,,
,,73.8186,92.158,,,,,,
,,74.5849,92.1567,,,,,,
,,75.6066,92.155,,,,,,
,,76.3729,92.3215,,,,,,
,,76.6284,92.6567,,,,,,
,,76.6284,93.16,,,,,,
,,77.1392,93.3269,,,,,,
,,77.9055,93.3257,,,,,,
,,78.7995,93.3242,,,,,,
,,79.4381,93.4909,,,,,,
,,80.4598,93.8247,,,,,,
,,81.4815,93.9908,,,,,,
,,82.5032,93.8213,,,,,,
,,83.7803,93.9869,,,,,,
,,84.802,94.153,,,,,,
,,85.8238,93.9835,,,,,,
,,87.3563,94.1487,,,,,,
,,88.5057,94.1468,,,,,,
,,89.6552,94.3127,,,,,,
,,90.5492,94.3112,,,,,,
,,91.3155,94.3099,,,,,,
,,92.3372,94.1404,,,,,,
,,93.3589,94.1387,,,,,,
,,94.3806,94.3047,,,,,,
,,95.53,94.3028,,,,,,
,,96.0409,94.9731,,,,,,
,,96.1686,95.9796,,,,,,
,,96.1686,96.9863,,,,,,
,,96.6794,97.4888,,,,,,
,,97.0626,97.9915,,,,,,
,,97.4457,98.8298,,,,,,
,,97.5734,99.3329,,,,,,
,,98.3397,99.3316,,,,,,
,,98.8506,99.4986,,,,,,
