,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
109,ResNet18,CIFAR-10,2,64,0,3426.97,VGG,CIFAR-10,2,64,0,5354.915,54.364,21.061,5734
110,ResNet18,CIFAR-10,2,64,0,3434.638,VGG,CIFAR-10,2,64,1,4807.218,50.0,18.747,5194
111,ResNet18,CIFAR-10,2,64,1,3164.602,VGG,CIFAR-10,2,64,0,5422.881,49.155,17.722,4700
112,ResNet18,CIFAR-10,2,64,1,3212.716,VGG,CIFAR-10,2,64,1,5013.804,46.178,15.564,5092
113,ResNet18,CIFAR-10,2,64,0,3436.727,VGG,CIFAR-10,2,128,0,10704.376,60.158,26.228,5908
114,ResNet18,CIFAR-10,2,64,0,3414.346,VGG,CIFAR-10,2,128,1,9644.534,54.208,20.96,4812
115,ResNet18,CIFAR-10,2,64,1,3113.212,VGG,CIFAR-10,2,128,0,10567.758,53.738,21.039,5832
116,ResNet18,CIFAR-10,2,64,1,3188.163,VGG,CIFAR-10,2,128,1,9550.423,49.152,17.354,5882
117,ResNet18,CIFAR-10,2,128,0,6744.987,VGG,CIFAR-10,2,32,0,2746.235,65.238,30.943,6930
118,ResNet18,CIFAR-10,2,128,0,6630.239,VGG,CIFAR-10,2,32,1,2482.484,61.05,29.109,6366
119,ResNet18,CIFAR-10,2,128,1,6196.767,VGG,CIFAR-10,2,32,0,2904.67,55.641,20.252,6854
120,ResNet18,CIFAR-10,2,128,1,6158.558,VGG,CIFAR-10,2,32,1,2552.952,50.838,18.545,6834
121,ResNet18,CIFAR-10,2,128,0,6752.557,VGG,CIFAR-10,2,64,0,5384.527,67.806,33.175,6984
122,ResNet18,CIFAR-10,2,128,0,6740.968,VGG,CIFAR-10,2,64,1,4774.37,65.41,29.724,6426
123,ResNet18,CIFAR-10,2,128,1,6011.519,VGG,CIFAR-10,2,64,0,5166.011,54.109,20.376,5982
124,ResNet18,CIFAR-10,2,128,1,6326.729,VGG,CIFAR-10,2,64,1,5027.011,54.981,21.184,6420
125,ResNet18,CIFAR-10,2,128,0,6660.14,VGG,CIFAR-10,2,128,0,10638.522,74.158,36.228,6164
126,ResNet18,CIFAR-10,2,128,0,6583.534,VGG,CIFAR-10,2,128,1,9397.184,66.485,31.909,6182
127,ResNet18,CIFAR-10,2,128,1,6098.771,VGG,CIFAR-10,2,128,0,10587.326,62.109,27.109,6360
128,ResNet18,CIFAR-10,2,128,1,6203.135,VGG,CIFAR-10,2,128,1,9361.647,55.495,21.777,7146
129,MobileNetV2,CIFAR-10,2,32,0,987.717,MobileNetV2,CIFAR-10,2,32,0,975.719,27.392,6.505,4634
130,MobileNetV2,CIFAR-10,2,32,0,1040.9,MobileNetV2,CIFAR-10,2,32,1,900.097,27.621,5.663,4600
131,MobileNetV2,CIFAR-10,2,32,1,878.426,MobileNetV2,CIFAR-10,2,32,1,887.881,25.453,3.632,4498
132,MobileNetV2,CIFAR-10,2,32,0,986.148,MobileNetV2,CIFAR-10,2,64,0,1993.264,33.194,11.151,4852
133,MobileNetV2,CIFAR-10,2,32,0,971.397,MobileNetV2,CIFAR-10,2,64,1,1737.905,28.568,6.874,4642
134,MobileNetV2,CIFAR-10,2,32,1,881.657,MobileNetV2,CIFAR-10,2,64,0,1969.773,31.667,9.387,4780
135,MobileNetV2,CIFAR-10,2,32,1,889.323,MobileNetV2,CIFAR-10,2,64,1,1796.913,28.516,5.505,4562
136,MobileNetV2,CIFAR-10,2,32,0,1024.137,MobileNetV2,CIFAR-10,2,128,0,3911.408,42.881,20.911,5354
137,MobileNetV2,CIFAR-10,2,32,0,965.049,MobileNetV2,CIFAR-10,2,128,1,3560.596,35.0,11.804,4892
138,MobileNetV2,CIFAR-10,2,32,1,935.771,MobileNetV2,CIFAR-10,2,128,0,3980.124,42.099,19.653,5290
139,MobileNetV2,CIFAR-10,2,32,1,926.236,MobileNetV2,CIFAR-10,2,128,1,3547.554,35.269,10.688,4838
140,MobileNetV2,CIFAR-10,2,64,0,2073.884,MobileNetV2,CIFAR-10,2,64,0,2009.167,38.111,15.97,5102
141,MobileNetV2,CIFAR-10,2,64,0,1982.975,MobileNetV2,CIFAR-10,2,64,1,1779.942,34.111,11.566,4892
142,MobileNetV2,CIFAR-10,2,64,1,1781.053,MobileNetV2,CIFAR-10,2,64,1,1791.045,30.989,7.774,4650
143,MobileNetV2,CIFAR-10,2,64,0,1982.103,MobileNetV2,CIFAR-10,2,128,0,3876.567,47.525,24.99,5560
144,MobileNetV2,CIFAR-10,2,64,0,1992.604,MobileNetV2,CIFAR-10,2,128,1,3596.947,40.303,16.707,5134
145,MobileNetV2,CIFAR-10,2,64,1,1915.941,MobileNetV2,CIFAR-10,2,128,0,4230.431,46.337,22.584,5362
146,MobileNetV2,CIFAR-10,2,64,1,1746.593,MobileNetV2,CIFAR-10,2,128,1,3522.365,36.516,12.474,4894
147,MobileNetV2,CIFAR-10,2,128,0,3808.138,MobileNetV2,CIFAR-10,2,128,0,3816.5,57.693,33.822,6074
148,MobileNetV2,CIFAR-10,2,128,0,4029.064,MobileNetV2,CIFAR-10,2,128,1,3563.871,52.772,26.911,5622
149,MobileNetV2,CIFAR-10,2,128,1,3611.848,MobileNetV2,CIFAR-10,2,128,1,3552.519,44.165,17.474,5230
150,MobileNetV2,CIFAR-10,2,32,0,1006.828,EfficientNetB0,CIFAR-10,2,32,0,815.427,25.495,4.011,4490
151,MobileNetV2,CIFAR-10,2,32,0,1034.303,EfficientNetB0,CIFAR-10,2,32,1,731.58,25.821,3.916,4482
152,MobileNetV2,CIFAR-10,2,32,1,925.256,EfficientNetB0,CIFAR-10,2,32,0,821.591,24.598,2.639,4410
153,MobileNetV2,CIFAR-10,2,32,1,921.413,EfficientNetB0,CIFAR-10,2,32,1,729.024,24.454,2.474,4418
154,MobileNetV2,CIFAR-10,2,32,0,1014.793,EfficientNetB0,CIFAR-10,2,64,0,1628.018,27.814,4.856,4626
155,MobileNetV2,CIFAR-10,2,32,0,1037.178,EfficientNetB0,CIFAR-10,2,64,1,1476.274,26.608,4.227,4532
156,MobileNetV2,CIFAR-10,2,32,1,907.351,EfficientNetB0,CIFAR-10,2,64,0,1624.203,26.863,3.074,4542
157,MobileNetV2,CIFAR-10,2,32,1,912.305,EfficientNetB0,CIFAR-10,2,64,1,1452.524,25.758,2.484,4464
158,MobileNetV2,CIFAR-10,2,32,0,1040.468,EfficientNetB0,CIFAR-10,2,128,0,3531.273,31.768,7.337,5034
159,MobileNetV2,CIFAR-10,2,32,0,1037.38,EfficientNetB0,CIFAR-10,2,128,1,2833.505,28.361,5.175,4718
160,MobileNetV2,CIFAR-10,2,32,1,911.09,EfficientNetB0,CIFAR-10,2,128,0,3160.179,29.398,5.376,4936
