Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
69,MobileNetV3,ImageNet,2,128,0,5140.111,MobileNetV2,CIFAR-10,2,128,1,3547.599,26.613,8.505,5916
70,MobileNetV3,ImageNet,2,128,1,4536.381,MobileNetV2,CIFAR-10,2,128,0,3990.173,34.758,17.832,5864
71,MobileNetV3,ImageNet,2,128,1,4577.647,MobileNetV2,CIFAR-10,2,128,1,3466.991,25.253,8.165,2627
72,MobileNetV3,ImageNet,2,32,0,1403.429,EfficientNetB0,CIFAR-10,2,32,0,827.141,13.663,1.095,4530
73,MobileNetV3,ImageNet,2,32,0,1343.482,EfficientNetB0,CIFAR-10,2,32,1,743.525,13.411,0.716,4518
74,MobileNetV3,ImageNet,2,32,1,1188.922,EfficientNetB0,CIFAR-10,2,32,0,866.35,13.674,1.011,4418
75,MobileNetV3,ImageNet,2,32,1,1192.611,EfficientNetB0,CIFAR-10,2,32,1,745.77,13.527,0.656,4458
76,MobileNetV3,ImageNet,2,32,0,1327.747,EfficientNetB0,CIFAR-10,2,64,0,1681.737,15.835,1.67,4668
77,MobileNetV3,ImageNet,2,32,0,1289.792,EfficientNetB0,CIFAR-10,2,64,1,1553.041,13.926,1.189,4548
78,MobileNetV3,ImageNet,2,32,1,1149.52,EfficientNetB0,CIFAR-10,2,64,0,1681.3,15.221,1.537,4552
79,MobileNetV3,ImageNet,2,32,1,1244.727,EfficientNetB0,CIFAR-10,2,64,1,1487.22,13.063,1.032,4472
80,MobileNetV3,ImageNet,2,32,0,1317.338,EfficientNetB0,CIFAR-10,2,128,0,3371.511,19.463,3.768,5082
81,MobileNetV3,ImageNet,2,32,0,1310.55,EfficientNetB0,CIFAR-10,2,128,1,3056.86,16.701,2.041,4754
82,MobileNetV3,ImageNet,2,32,1,1217.485,EfficientNetB0,CIFAR-10,2,128,0,3421.554,19.424,3.747,4960
83,MobileNetV3,ImageNet,2,32,1,1182.571,EfficientNetB0,CIFAR-10,2,128,1,3044.45,16.021,1.842,4654
84,MobileNetV3,ImageNet,2,64,0,2623.756,EfficientNetB0,CIFAR-10,2,32,0,821.058,13.022,1.215,4860
85,MobileNetV3,ImageNet,2,64,0,2608.832,EfficientNetB0,CIFAR-10,2,32,1,752.228,14.32,1.299,4856
86,MobileNetV3,ImageNet,2,64,1,2523.956,EfficientNetB0,CIFAR-10,2,32,0,853.409,14.179,1.158,4566
87,MobileNetV3,ImageNet,2,64,1,2373.582,EfficientNetB0,CIFAR-10,2,32,1,752.43,13.68,0.814,4580
