Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
118,MobileNetV3,ImageNet,1,32,1,1031.183,VGG,CIFAR-10,1,128,0,7964.557,54.13,33.623,6422
119,MobileNetV3,ImageNet,1,32,1,1004.997,VGG,CIFAR-10,1,128,1,7462.669,45.324,23.486,5070
120,MobileNetV3,ImageNet,1,64,0,2355.377,VGG,CIFAR-10,1,32,0,2954.487,52.392,27.946,6674
121,MobileNetV3,ImageNet,1,64,0,2400.692,VGG,CIFAR-10,1,32,1,2586.133,46.658,24.575,6050
122,MobileNetV3,ImageNet,1,64,1,1790.756,VGG,CIFAR-10,1,32,0,2888.327,46.753,22.315,6114
123,MobileNetV3,ImageNet,1,64,1,1916.432,VGG,CIFAR-10,1,32,1,2573.831,39.671,17.849,5490
124,MobileNetV3,ImageNet,1,64,0,2054.985,VGG,CIFAR-10,1,64,0,5197.442,60.387,32.613,6872
125,MobileNetV3,ImageNet,1,64,0,2286.829,VGG,CIFAR-10,1,64,1,4725.669,48.694,25.597,6876
126,MobileNetV3,ImageNet,1,64,1,1886.461,VGG,CIFAR-10,1,64,0,5692.452,56.919,30.716,6312
127,MobileNetV3,ImageNet,1,64,1,1859.051,VGG,CIFAR-10,1,64,1,4639.973,44.764,21.792,6316
128,MobileNetV3,ImageNet,1,64,0,1815.906,VGG,CIFAR-10,1,128,0,8378.928,65.053,38.118,7278
129,MobileNetV3,ImageNet,1,64,0,2156.021,VGG,CIFAR-10,1,128,1,7764.245,58.493,36.56,5954
130,MobileNetV3,ImageNet,1,64,1,1834.231,VGG,CIFAR-10,1,128,0,7370.903,57.447,32.842,6752
131,MobileNetV3,ImageNet,1,64,1,1904.092,VGG,CIFAR-10,1,128,1,7422.485,51.467,28.293,5394
132,MobileNetV3,ImageNet,1,128,0,2547.98,VGG,CIFAR-10,1,32,0,2769.19,53.122,27.027,7836
133,MobileNetV3,ImageNet,1,128,0,2792.83,VGG,CIFAR-10,1,32,1,2381.709,47.569,27.236,7212
134,MobileNetV3,ImageNet,1,128,1,2970.2,VGG,CIFAR-10,1,32,0,2936.733,53.712,26.849,6676
135,MobileNetV3,ImageNet,1,128,1,3163.466,VGG,CIFAR-10,1,32,1,2565.951,41.904,19.342,6000
136,MobileNetV3,ImageNet,1,128,0,2410.539,VGG,CIFAR-10,1,64,0,5451.358,64.868,36.5,8034
137,MobileNetV3,ImageNet,1,128,0,2677.471,VGG,CIFAR-10,1,64,1,4919.232,54.932,32.662,8038
138,MobileNetV3,ImageNet,1,128,1,2748.496,VGG,CIFAR-10,1,64,0,5561.339,62.5,32.947,6882
139,MobileNetV3,ImageNet,1,128,1,3066.193,VGG,CIFAR-10,1,64,1,4615.952,53.149,24.919,6928
140,MobileNetV3,ImageNet,1,128,0,2143.395,VGG,CIFAR-10,1,128,0,7699.573,64.421,40.132,8440
141,MobileNetV3,ImageNet,1,128,0,2460.453,VGG,CIFAR-10,1,128,1,7148.293,54.413,31.6,7116
142,MobileNetV3,ImageNet,1,128,1,2332.972,VGG,CIFAR-10,1,128,0,7721.67,60.158,35.263,7390
143,MobileNetV3,ImageNet,1,128,1,2825.244,VGG,CIFAR-10,1,128,1,7783.927,53.507,28.84,5964
0,PointNet,ShapeNet,1,32,0,132.043,DCGAN,LSUN,1,32,0,2123.461,75.26,33.026,6448
1,PointNet,ShapeNet,1,32,0,134.261,DCGAN,LSUN,1,32,1,1744.857,48.145,22.211,6720
2,PointNet,ShapeNet,1,32,1,126.581,DCGAN,LSUN,1,32,0,2338.801,73.013,30.763,5814
3,PointNet,ShapeNet,1,32,1,133.867,DCGAN,LSUN,1,32,1,1773.724,44.219,19.507,6086
4,PointNet,ShapeNet,1,32,0,138.265,DCGAN,LSUN,1,64,0,3380.197,93.253,42.56,6534
5,PointNet,ShapeNet,1,32,0,127.732,DCGAN,LSUN,1,64,1,3139.459,60.587,26.987,6320
6,PointNet,ShapeNet,1,32,1,130.829,DCGAN,LSUN,1,64,0,3315.694,94.026,40.145,5900
7,PointNet,ShapeNet,1,32,1,134.791,DCGAN,LSUN,1,64,1,3150.059,58.039,24.829,5780
8,PointNet,ShapeNet,1,32,0,133.06,DCGAN,LSUN,1,128,0,3833.404,95.416,43.065,7088
9,PointNet,ShapeNet,1,32,0,124.112,DCGAN,LSUN,1,128,1,5145.095,68.878,34.257,6680
